Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Malik Beasley,SG,21,DEN,59,0,9.7,1.2,3.0,.403,0.4,1.4,.325,0.8,1.6,.469,.477,0.3,0.5,.690,0.2,1.0,1.2,0.5,0.3,0.1,0.4,0.6,3.2
Michael Beasley,PF,29,NYK,65,21,21.9,5.3,10.5,.507,0.4,1.0,.409,4.9,9.5,.518,.527,1.7,2.2,.782,1.3,4.2,5.5,1.6,0.5,0.6,1.9,1.9,12.8
Marco Belinelli,SG,31,TOT,68,1,23.9,3.9,9.3,.424,1.7,4.7,.368,2.2,4.5,.484,.518,1.8,1.9,.924,0.3,1.5,1.8,1.8,0.8,0.1,1.1,0.9,11.4
Marco Belinelli,SG,31,ATL,52,1,23.3,3.8,9.3,.411,1.8,4.8,.372,2.1,4.6,.451,.506,1.9,2.1,.927,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,11.4
Marco Belinelli,SG,31,PHI,16,0,26.1,4.3,9.1,.469,1.6,4.6,.351,2.6,4.4,.592,.559,1.3,1.4,.913,0.3,1.1,1.4,1.1,0.4,0.3,1.1,1.4,11.4
Jordan Bell,C,23,GSW,46,11,14.2,2.0,3.2,.644,0.0,0.1,.000,2.0,3.1,.657,.644,0.6,0.8,.692,1.1,2.6,3.6,1.8,0.7,1.0,0.9,1.8,4.7
DeAndre' Bembry,SF,23,ATL,21,0,17.3,1.9,4.8,.396,0.4,1.1,.333,1.5,3.7,.416,.436,0.7,1.2,.600,0.4,2.3,2.7,1.5,0.6,0.5,1.8,1.5,4.9
Dragan Bender,PF,20,PHO,72,27,24.6,2.2,5.7,.380,1.4,3.8,.370,0.8,1.9,.400,.502,0.5,0.6,.773,0.4,3.5,4.0,1.6,0.3,0.6,1.3,2.0,6.2
Davis Bertans,PF,25,SAS,68,10,15.0,2.2,5.0,.440,1.3,3.5,.373,0.9,1.6,.589,.569,0.6,0.7,.816,0.3,1.9,2.1,1.0,0.4,0.4,0.5,1.3,6.3
Patrick Beverley,SG,29,LAC,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,.504,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.6,0.5,2.3,3.1,12.2
Khem Birch,C,25,ORL,31,0,12.3,1.2,2.5,.500,0.0,0.0,,1.2,2.5,.500,.500,0.6,1.0,.625,1.5,2.1,3.6,0.6,0.4,0.4,0.5,1.2,3.1
Jabari Bird,SG,23,BOS,5,0,5.2,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.6,1.0,.600,0.2,0.4,0.6,0.2,0.2,0.0,0.2,0.4,1.0
Bismack Biyombo,C,25,ORL,71,23,18.6,2.1,4.1,.519,0.0,0.0,.000,2.1,4.1,.521,.519,1.2,1.9,.662,1.8,4.0,5.8,0.8,0.3,1.2,1.1,2.0,5.5
Nemanja Bjelica,PF,29,MIN,57,14,19.3,2.6,5.3,.484,1.1,2.6,.432,1.5,2.7,.532,.589,0.6,0.7,.821,0.7,3.3,4.0,1.3,0.6,0.2,0.8,2.0,6.8
Tarik Black,C,26,HOU,42,1,10.3,1.5,2.6,.587,0.0,0.2,.000,1.5,2.4,.634,.587,0.5,1.2,.460,1.3,1.7,3.0,0.2,0.4,0.6,0.7,2.2,3.6
Antonio Blakeney,SG,21,CHI,19,0,16.5,2.8,7.5,.371,0.8,2.7,.288,2.0,4.8,.418,.423,1.6,2.1,.769,0.2,1.5,1.7,1.1,0.4,0.1,0.6,1.0,7.9
Eric Bledsoe,PG,28,TOT,63,63,31.4,6.1,13.5,.452,1.7,5.0,.332,4.4,8.5,.522,.514,3.4,4.4,.778,0.7,3.0,3.8,4.8,2.0,0.6,3.0,2.5,17.3
Eric Bledsoe,PG,28,PHO,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7
Eric Bledsoe,PG,28,MIL,60,60,31.6,6.1,13.5,.455,1.7,5.0,.333,4.5,8.5,.527,.517,3.4,4.4,.777,0.7,3.1,3.8,4.9,2.1,0.6,3.0,2.5,17.4
Vander Blue,SG,25,LAL,5,0,9.0,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.2,0.4,.500,0.0,0.2,0.2,0.6,0.2,0.0,0.6,0.4,0.6
Bogdan Bogdanovic,SG,25,SAC,68,43,27.6,4.4,9.8,.445,1.7,4.2,.399,2.7,5.6,.480,.531,1.4,1.6,.852,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.1,11.8
Bojan Bogdanovic,SF,28,IND,71,71,30.7,4.9,10.4,.466,1.9,4.8,.393,3.0,5.7,.526,.555,2.2,2.6,.859,0.4,3.0,3.3,1.5,0.7,0.1,1.3,1.6,13.8
Andrew Bogut,C,33,LAL,23,5,9.4,0.7,1.1,.680,0.0,0.0,,0.7,1.1,.680,.680,0.1,0.1,1.000,1.1,2.3,3.4,0.7,0.2,0.6,0.8,1.7,1.6
Joel Bolomboy,PF,24,MIL,6,0,6.3,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600,.500,0.5,1.0,.500,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5
Devin Booker,SG,21,PHO,54,54,34.5,8.4,19.5,.432,2.7,7.1,.383,5.7,12.4,.460,.501,5.4,6.1,.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9
Trevor Booker,PF,30,TOT,59,5,17.4,2.6,5.1,.513,0.1,0.5,.286,2.5,4.6,.536,.526,1.0,1.4,.690,1.7,3.1,4.7,1.2,0.4,0.3,1.0,1.8,6.4
Trevor Booker,PF,30,BRK,18,5,21.9,4.3,8.3,.513,0.2,0.7,.250,4.1,7.7,.536,.523,1.3,2.4,.558,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1
Trevor Booker,PF,30,PHI,33,0,15.0,1.8,3.3,.560,0.1,0.2,.286,1.8,3.1,.578,.569,1.0,1.2,.821,1.4,2.3,3.7,0.8,0.5,0.3,0.6,1.5,4.7
Trevor Booker,PF,30,IND,8,0,17.4,2.1,5.4,.395,0.4,1.1,.333,1.8,4.3,.412,.430,0.3,0.3,1.000,1.8,3.1,4.9,1.0,0.1,0.4,0.9,1.5,4.9
Chris Boucher,PF,25,GSW,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Bradley,SG,27,TOT,46,46,31.2,5.6,13.6,.414,1.6,4.4,.369,4.0,9.2,.436,.474,1.4,1.8,.768,0.5,2.0,2.5,2.0,1.1,0.2,2.2,2.0,14.3
Avery Bradley,SG,27,DET,40,40,31.7,5.8,14.3,.409,1.9,4.9,.381,4.0,9.4,.423,.474,1.5,2.0,.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2.0,15.0
Avery Bradley,SG,27,LAC,6,6,27.5,4.3,9.2,.473,0.2,1.5,.111,4.2,7.7,.543,.482,0.3,0.3,1.000,0.5,3.2,3.7,1.8,0.8,0.2,1.3,2.0,9.2
Tony Bradley,C,20,UTA,9,0,3.2,0.3,1.2,.273,0.0,0.1,.000,0.3,1.1,.300,.273,0.2,0.2,1.000,0.4,0.8,1.2,0.1,0.0,0.0,0.0,0.1,0.9
Corey Brewer,SF,31,TOT,63,9,15.1,1.8,3.9,.456,0.3,1.2,.273,1.5,2.7,.538,.498,0.9,1.2,.757,0.4,1.4,1.9,0.9,1.0,0.2,0.7,1.8,4.8
Corey Brewer,SF,31,LAL,54,2,12.9,1.4,3.2,.453,0.1,0.8,.186,1.3,2.4,.543,.477,0.6,0.9,.667,0.4,1.3,1.7,0.8,0.8,0.1,0.7,1.5,3.7
Corey Brewer,SF,31,OKC,9,7,28.3,3.9,8.4,.461,1.4,3.8,.382,2.4,4.7,.524,.546,2.4,2.6,.957,0.6,2.2,2.8,1.4,2.2,0.7,0.7,3.1,11.7
Malcolm Brogdon,PG,25,MIL,46,20,30.5,5.2,10.6,.487,1.3,3.4,.378,3.9,7.2,.538,.547,1.6,1.8,.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.8,13.3
Aaron Brooks,PG,33,MIN,29,1,5.5,0.8,1.8,.431,0.2,0.7,.333,0.5,1.0,.500,.500,0.1,0.2,.667,0.2,0.3,0.4,0.6,0.2,0.0,0.3,0.7,1.9
Dillon Brooks,SF,22,MEM,71,63,28.7,3.9,8.9,.443,1.1,3.0,.372,2.8,5.8,.480,.506,1.3,1.7,.763,0.5,2.5,3.0,1.5,0.8,0.2,1.4,3.0,10.3
Bobby Brown,PG,33,HOU,20,0,5.8,1.0,2.9,.328,0.6,2.0,.275,0.4,0.9,.444,.422,0.1,0.1,.500,0.0,0.4,0.4,0.6,0.2,0.0,0.5,0.3,2.5
Jaylen Brown,SF,21,BOS,61,61,30.9,5.2,11.4,.460,1.7,4.4,.373,3.6,6.9,.517,.533,2.0,3.2,.631,1.0,4.2,5.2,1.6,0.9,0.4,1.6,2.7,14.1
Lorenzo Brown,PG,27,TOR,13,0,8.8,0.7,1.9,.360,0.1,0.6,.125,0.6,1.3,.471,.380,0.2,0.2,1.000,0.0,0.8,0.8,0.9,0.3,0.0,0.2,0.4,1.6
Markel Brown,SG,26,HOU,4,0,7.8,0.5,1.8,.286,0.3,1.3,.200,0.3,0.5,.500,.357,0.0,0.0,,0.3,1.0,1.3,0.5,0.0,0.0,0.5,1.5,1.3
Sterling Brown,SG,22,MIL,46,3,14.9,1.7,3.9,.425,0.7,1.7,.385,1.0,2.2,.456,.508,0.4,0.5,.864,0.5,2.3,2.8,0.5,0.7,0.2,0.5,1.5,4.4
Nicolas Brussino,SF,24,ATL,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bryant,C,20,LAL,10,0,3.3,0.3,0.9,.333,0.1,0.5,.200,0.2,0.4,.500,.389,0.4,0.6,.667,0.1,0.5,0.6,0.2,0.0,0.0,0.1,0.2,1.1
Reggie Bullock,SF,26,DET,55,45,27.4,4.2,8.5,.491,2.0,4.4,.443,2.2,4.1,.544,.606,0.7,0.8,.783,0.4,1.9,2.3,1.5,0.7,0.2,0.7,1.2,11.0
Trey Burke,PG,25,NYK,26,0,17.3,4.5,8.8,.513,0.9,2.3,.400,3.6,6.5,.553,.565,0.7,1.2,.581,0.3,1.5,1.8,3.5,0.4,0.2,0.9,0.9,10.7
Alec Burks,SG,26,UTA,59,1,17.1,2.8,6.7,.411,0.7,2.3,.323,2.0,4.5,.455,.465,1.8,2.1,.861,0.3,2.8,3.1,1.1,0.6,0.1,0.9,1.2,8.0
Jimmy Butler,SG,28,MIN,56,56,37.1,7.4,15.8,.473,1.2,3.5,.356,6.2,12.3,.506,.512,6.1,7.0,.865,1.3,4.1,5.4,5.0,1.9,0.4,1.8,1.3,22.2
Dwight Buycks,PG,28,DET,28,0,15.1,2.9,7.0,.418,0.5,1.6,.333,2.4,5.4,.444,.457,1.3,1.5,.878,0.4,1.0,1.5,2.1,0.7,0.1,1.4,1.4,7.7
Bruno Caboclo,SF,22,TOT,7,0,7.7,0.6,2.4,.235,0.0,1.3,.000,0.6,1.1,.500,.235,0.4,0.6,.750,0.7,0.9,1.6,0.6,0.4,0.1,0.1,1.0,1.6
Bruno Caboclo,SF,22,TOR,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0
Bruno Caboclo,SF,22,SAC,5,0,9.4,0.8,3.0,.267,0.0,1.4,.000,0.8,1.6,.500,.267,0.6,0.8,.750,1.0,1.0,2.0,0.6,0.4,0.2,0.2,1.2,2.2
Jose Calderon,PG,36,CLE,48,27,15.6,1.5,2.9,.504,0.8,1.6,.474,0.7,1.4,.538,.631,0.4,0.5,.769,0.2,1.3,1.5,2.1,0.5,0.0,0.7,1.4,4.1
Kentavious Caldwell-Pope,SG,24,LAL,62,62,33.6,4.6,10.9,.428,2.2,5.6,.385,2.5,5.2,.474,.527,2.0,2.7,.764,0.9,4.6,5.5,2.2,1.6,0.2,1.3,2.0,13.5
Isaiah Canaan,PG-SG,26,TOT,20,1,21.1,2.6,6.9,.380,1.1,3.3,.333,1.5,3.6,.423,.460,2.3,2.6,.902,0.3,2.0,2.3,3.8,0.8,0.1,1.5,1.8,8.6
Isaiah Canaan,SG,26,HOU,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Canaan,PG,26,PHO,19,1,22.0,2.7,7.2,.382,1.2,3.5,.333,1.6,3.7,.429,.463,2.4,2.7,.902,0.3,2.0,2.3,4.0,0.8,0.1,1.5,1.9,9.1
Clint Capela,C,23,HOU,65,65,27.4,6.0,9.2,.652,0.0,0.0,.000,6.0,9.2,.653,.652,2.0,3.6,.566,3.3,7.6,10.9,0.9,0.7,1.8,1.4,2.6,14.1
DeMarre Carroll,SF,31,BRK,67,67,29.9,4.5,10.9,.415,2.0,5.4,.370,2.5,5.5,.458,.506,2.6,3.4,.770,1.5,5.2,6.7,2.0,0.8,0.4,1.4,2.2,13.6
Vince Carter,SF,41,SAC,48,4,17.7,2.0,5.0,.403,1.0,2.9,.348,1.0,2.1,.480,.504,0.5,0.6,.710,0.3,2.1,2.4,1.2,0.9,0.5,0.6,1.7,5.5
Michael Carter-Williams,PG,26,CHO,52,2,16.1,1.5,4.4,.332,0.3,1.1,.237,1.2,3.3,.365,.362,1.4,1.7,.820,0.7,1.9,2.7,2.2,0.8,0.4,1.0,1.9,4.6
Alex Caruso,PG,23,LAL,28,0,13.1,1.1,2.4,.448,0.2,0.8,.227,0.9,1.6,.556,.485,0.4,0.6,.688,0.3,1.0,1.3,1.7,0.6,0.3,0.9,1.2,2.7
Omri Casspi,SF,29,GSW,53,7,14.0,2.3,3.9,.580,0.2,0.4,.455,2.1,3.5,.595,.604,0.9,1.3,.725,0.6,3.2,3.8,1.0,0.3,0.4,0.7,1.3,5.7
Willie Cauley-Stein,C,24,SAC,63,48,27.9,5.1,10.4,.491,0.0,0.2,.250,5.1,10.2,.495,.493,2.1,3.3,.621,1.8,5.0,6.9,2.3,1.1,1.0,1.5,2.5,12.3
Tyler Cavanaugh,PF,23,ATL,34,1,13.5,1.7,3.7,.468,0.8,2.2,.368,0.9,1.5,.620,.579,0.5,0.6,.810,1.1,2.2,3.3,0.8,0.3,0.1,0.3,1.7,4.8
Mario Chalmers,PG,31,MEM,58,9,22.2,2.6,6.9,.373,0.8,2.9,.282,1.8,4.0,.440,.433,1.8,2.1,.851,0.2,2.2,2.4,3.1,1.2,0.2,1.8,2.8,7.8
Tyson Chandler,C,35,PHO,46,46,25.0,2.6,4.1,.647,0.0,0.0,,2.6,4.1,.647,.647,1.3,2.0,.617,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5
Wilson Chandler,SF,30,DEN,65,62,31.4,3.9,8.7,.453,1.2,3.4,.361,2.7,5.3,.512,.523,1.3,1.6,.783,1.4,3.8,5.2,2.2,0.6,0.5,1.3,2.1,10.3
Marquese Chriss,PF,20,PHO,64,41,20.2,2.5,6.1,.402,0.8,2.6,.305,1.7,3.5,.473,.467,1.1,2.0,.576,1.0,4.1,5.0,1.1,0.7,1.0,1.4,2.9,6.9
Ian Clark,SG,26,NOP,66,1,19.2,2.8,6.4,.447,0.8,2.6,.302,2.1,3.8,.544,.507,0.6,0.8,.750,0.2,1.5,1.7,1.4,0.4,0.2,0.8,1.6,7.1
Jordan Clarkson,SG,25,TOT,70,2,23.5,5.5,12.0,.453,1.4,4.2,.347,4.0,7.9,.509,.513,1.9,2.4,.792,0.7,2.1,2.9,2.9,0.7,0.1,1.7,1.3,14.3
Jordan Clarkson,SG,25,LAL,53,2,23.7,5.6,12.6,.448,1.3,4.0,.324,4.4,8.6,.505,.499,2.0,2.5,.795,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5
Jordan Clarkson,SG,25,CLE,17,0,22.9,4.9,10.4,.472,1.9,4.8,.407,2.9,5.6,.526,.565,1.6,2.1,.778,0.4,2.0,2.4,1.9,0.6,0.1,1.2,1.6,13.4
Gian Clavell,SG,24,DAL,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000,.500,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9
Antonius Cleveland,SG,23,DAL,13,0,6.2,0.3,1.1,.286,0.0,0.1,.000,0.3,1.0,.308,.286,0.2,0.3,.500,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8
John Collins,PF,20,ATL,64,16,23.2,4.3,7.3,.584,0.1,0.4,.333,4.1,6.9,.599,.593,1.9,2.5,.752,2.5,4.6,7.1,1.1,0.6,1.1,1.4,3.0,10.5
Zach Collins,C,20,POR,55,1,15.5,1.7,4.3,.402,0.5,1.6,.341,1.2,2.7,.438,.466,0.4,0.6,.629,0.7,2.7,3.4,0.7,0.3,0.5,0.9,2.1,4.4
Kyle Collinsworth,SF,26,DAL,24,1,13.8,1.0,2.6,.403,0.2,0.5,.364,0.9,2.1,.412,.435,0.5,1.0,.500,1.0,2.0,3.0,1.4,0.6,0.1,0.7,1.4,2.8
Darren Collison,PG,30,IND,59,54,29.8,4.7,9.4,.496,1.4,3.1,.448,3.3,6.3,.520,.570,2.0,2.3,.874,0.6,2.1,2.6,5.3,1.4,0.2,1.3,1.8,12.7
Nick Collison,PF,37,OKC,13,0,5.5,1.0,1.5,.684,0.0,0.0,,1.0,1.5,.684,.684,0.3,0.6,.500,0.5,1.0,1.5,0.3,0.0,0.0,0.5,0.5,2.3
Mike Conley,PG,30,MEM,12,12,31.1,5.3,14.0,.381,2.0,6.4,.312,3.3,7.6,.440,.452,4.4,5.5,.803,0.0,2.3,2.3,4.1,1.0,0.3,1.5,2.0,17.1
Pat Connaughton,SG,25,POR,71,5,18.2,2.1,4.9,.434,0.9,2.6,.364,1.2,2.3,.512,.530,0.5,0.6,.854,0.4,1.5,1.9,1.2,0.3,0.3,0.5,1.4,5.7
Quinn Cook,PG,24,GSW,22,8,16.5,2.6,5.5,.475,1.0,2.4,.396,1.6,3.0,.537,.563,0.5,0.5,.833,0.2,1.5,1.6,1.5,0.2,0.0,0.8,1.4,6.6
Charles Cooke,SG,23,NOP,10,0,2.7,0.2,1.0,.200,0.1,0.6,.167,0.1,0.4,.250,.250,0.1,0.2,.500,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.6
